area,bedrooms,age,price
177,3,22,326.0429727854258
141,1,13,319.88907710071715
239,2,27,447.4807229263452
178,5,19,384.38623848705913
170,2,17,341.2281822728339
76,2,4,184.08027690960552
239,1,12,503.4556488383448
170,4,29,318.0714965076689
165,2,9,381.11370477339517
52,3,19,125.49285671652589
152,4,12,350.83155859400773
247,5,9,539.7730901387521
249,1,7,519.69686008295
204,5,28,446.6617367747727
186,4,14,435.0275156287314
111,4,20,222.67334265604347
214,4,19,463.9799691628768
100,5,26,244.54161370115366
221,4,15,436.91784156635885
201,5,16,470.3008057713981
108,4,21,223.1212872316246
167,3,5,416.1179600577948
