gold,estate,cryto,stock,class,risk,profit
25.65,78.92,1010.83,86.56,C,Y,434.78
21.59,61.87,1011.18,57.21,A,N,446.58
27.98,58.33,1013.92,54.25,C,Y,437.76
18.8,39.72,1001.24,63.8,A,Y,459.36
18.28,44.71,1016.99,33.71,C,Y,462.28
13.55,43.48,1016.08,67.25,B,Y,464.33
22.99,46.21,1010.71,60.11,C,Y,444.36
23.94,59.39,1014.32,74.55,A,Y,438.64
13.74,34.03,1018.69,67.34,C,Y,470.49
21.3,41.1,1001.86,42.75,A,Y,455.13
27.54,66.93,1017.06,55.2,C,N,450.22
24.81,63.73,1009.34,83.61,A,Y,440.43
4.97,42.85,1014.02,88.78,C,N,482.98
15.22,50.88,1014.19,100.12,C,N,460.44
23.88,54.2,1012.81,64.52,B,N,444.97
33.01,68.67,1005.2,51.41,C,Y,433.94
25.98,73.18,1012.28,85.78,A,N,439.73
28.18,73.88,1005.89,75.41,B,N,434.48
21.67,60.84,1017.93,81.63,A,N,442.33
17.67,45.09,1014.26,51.92,A,Y,457.67
21.37,57.76,1018.8,70.12,B,N,454.66
28.69,67.25,1017.71,53.83,C,N,432.21
16.61,43.77,1012.25,77.23,C,Y,457.66
27.91,63.76,1010.27,65.67,A,N,435.21
20.97,47.43,1007.64,71.18,C,N,448.22
10.8,41.66,1013.79,81.96,A,N,475.51
20.61,62.91,1013.24,79.54,B,N,446.53
25.45,57.32,1011.7,47.09,B,Y,441.3
30.16,69.34,1007.67,57.69,C,Y,433.54
4.99,39.04,1020.45,78.89,A,Y,472.52
10.51,44.78,1012.59,85.29,B,N,474.77
33.79,69.05,1001.62,40.13,B,Y,435.1
21.34,59.8,1016.92,77.06,B,Y,450.74
23.4,65.06,1014.32,67.38,C,N,442.7
32.21,68.14,1003.34,62.44,A,Y,426.56
14.26,42.32,1016,77.43,B,Y,463.71
27.71,66.93,1016.85,58.77,B,Y,447.06
21.95,57.76,1018.02,67.72,C,Y,452.27
25.76,63.94,1018.49,42.14,C,Y,445.78
23.68,68.3,1017.93,84.16,C,Y,438.65
8.28,40.77,1011.55,89.79,A,Y,480.15
23.44,62.52,1016.46,67.21,B,N,447.19
25.32,48.41,1008.47,72.14,B,Y,443.04
3.94,39.9,1008.06,97.49,C,Y,488.81
17.3,57.76,1016.26,87.74,B,Y,455.75
18.2,49.39,1018.83,96.3,C,Y,455.86
21.43,46.97,1013.94,61.25,B,N,457.68
11.16,40.05,1014.95,88.38,C,Y,479.11
30.38,74.16,1007.44,74.77,A,Y,432.84
23.36,62.52,1016.18,68.18,C,N,448.37
21.69,47.45,1007.56,77.2,C,Y,447.06
23.62,49.21,1014.1,49.54,C,Y,443.53
21.87,61.45,1011.13,92.22,C,Y,445.21
29.25,66.51,1015.53,33.65,C,Y,441.7
20.03,66.86,1013.05,64.59,C,Y,450.93
18.14,49.78,1002.95,100.09,C,Y,451.44
24.23,56.89,1012.32,68.04,A,N,441.29
18.11,44.85,1014.48,48.94,B,N,458.85
6.57,43.65,1018.24,74.47,C,N,481.46
12.56,43.41,1016.93,81.02,B,Y,467.19
13.4,41.58,1020.5,71.17,A,Y,461.54
27.1,52.84,1006.28,53.85,B,N,439.08
14.28,42.74,1028.79,70.67,B,Y,467.22
16.29,44.34,1019.49,59.36,B,N,468.8
31.24,71.98,1004.66,57.17,B,Y,426.93
10.57,37.73,1024.36,70.29,A,N,474.65
13.8,44.21,1022.93,83.37,B,Y,468.97
25.3,71.58,1010.18,87.36,C,N,433.97
18.06,50.16,1009.52,100.09,A,N,450.53
25.42,59.04,1011.98,68.78,B,Y,444.51
15.07,40.69,1015.29,70.98,A,N,469.03
11.75,71.14,1019.36,75.68,A,N,466.56
20.23,52.05,1012.15,47.49,C,Y,457.57
27.31,59.54,1006.24,71.99,C,Y,440.13
28.57,69.84,1003.57,66.55,B,Y,433.24
17.9,43.72,1008.64,74.73,C,Y,452.55
23.83,71.37,1002.04,64.78,C,Y,443.29
27.92,74.99,1005.47,75.13,B,Y,431.76
17.34,44.78,1007.81,56.38,C,N,454.97
17.94,63.07,1012.42,94.35,C,N,456.7
6.4,39.9,1007.75,86.55,C,N,486.03
11.78,39.96,1011.37,82.95,C,Y,472.79
20.28,57.25,1010.12,88.42,B,Y,452.03
21.04,54.2,1012.26,85.61,C,Y,443.41
25.11,67.32,1014.49,58.39,C,N,441.93
30.28,70.98,1007.51,74.28,C,N,432.64
8.14,36.24,1013.15,87.85,C,N,480.25
16.86,39.63,1004.47,83.5,B,N,466.68
6.25,40.07,1020.19,65.24,C,Y,494.39
22.35,54.42,1012.46,75.01,C,N,454.72
17.98,56.85,1012.28,84.52,C,N,448.71
21.19,42.48,1013.43,80.52,B,N,469.76
20.94,44.89,1009.64,75.14,A,Y,450.71
24.23,58.79,1009.8,75.75,A,Y,444.01
19.18,58.2,1017.46,76.72,B,Y,453.2
20.88,57.85,1012.39,85.47,A,Y,450.87
23.67,63.86,1019.67,57.95,C,N,441.73
14.12,39.52,1018.41,78.32,B,N,465.09
25.23,64.63,1020.59,52.2,C,N,447.28
6.54,39.33,1011.54,93.69,C,Y,491.16
20.08,62.52,1017.99,75.74,B,Y,450.98
24.67,63.56,1013.75,67.56,C,Y,446.3
27.82,79.74,1008.37,69.46,A,Y,436.48
15.55,42.03,1017.41,74.58,A,N,460.84
24.26,69.51,1013.43,53.23,A,Y,442.56
13.45,41.49,1020.19,88.72,A,N,467.3
11.06,40.64,1021.47,96.16,B,N,479.13
24.91,52.3,1008.72,68.26,C,N,441.15
22.39,59.04,1011.78,86.39,C,Y,445.52
11.95,40.69,1015.62,85.34,C,N,475.4
14.85,40.69,1014.91,72.64,C,Y,469.3
10.11,41.62,1017.17,97.82,B,Y,463.57
23.67,68.67,1006.71,77.22,B,N,445.32
16.14,44.21,1020.36,80.59,A,Y,461.03
15.11,43.13,1014.99,46.91,B,N,466.74
24.14,59.87,1018.47,57.76,C,N,444.04
30.08,67.25,1017.6,53.09,C,N,434.01
14.77,44.9,1020.5,84.31,B,Y,465.23
27.6,69.34,1009.63,71.58,C,Y,440.6
13.89,44.84,1023.66,92.97,C,Y,466.74
26.85,75.6,1017.43,74.55,C,N,433.48
12.41,40.96,1023.36,78.96,C,Y,473.59
13.08,41.74,1020.75,64.44,C,N,474.81
18.93,44.06,1017.58,68.23,B,N,454.75
20.5,49.69,1009.6,70.81,C,N,452.94
30.72,69.13,1009.94,61.66,C,N,435.83
7.55,39.22,1014.53,77.76,C,N,482.19
13.49,44.47,1030.46,69.49,C,Y,466.66
15.62,40.12,1013.03,96.26,B,Y,462.59
24.8,64.63,1020.69,55.74,C,Y,447.82
10.03,41.62,1014.55,95.61,C,Y,462.73
22.43,63.21,1012.06,84.75,A,N,447.98
14.95,39.31,1009.15,75.3,A,N,462.72
24.78,58.46,1016.82,67.5,C,Y,442.42
23.2,48.41,1008.64,80.92,C,N,444.69
14.01,39,1016.73,79.23,A,N,466.7
19.4,64.63,1020.38,81.1,B,N,453.84
30.15,67.32,1013.83,32.8,A,N,436.92
6.91,36.08,1021.82,84.31,B,Y,486.37
29.04,60.07,1015.42,46.15,B,Y,440.43
26.02,63.07,1010.94,53.96,C,Y,446.82
5.89,39.48,1005.11,59.83,C,N,484.91
26.52,71.64,1008.27,75.3,B,Y,437.76
28.53,68.08,1013.27,42.53,A,N,438.91
16.59,39.54,1007.97,70.58,B,N,464.19
22.95,67.79,1009.89,91.69,A,Y,442.19
23.96,47.43,1008.38,63.55,C,N,446.86
17.48,44.2,1018.89,61.51,C,Y,457.15
6.69,43.65,1020.14,69.55,B,N,482.57
10.25,41.26,1007.44,98.08,B,Y,476.03
28.87,72.58,1008.69,79.34,B,Y,428.89
12.04,40.23,1018.07,81.28,A,N,472.7
22.58,52.3,1009.04,78.99,C,N,445.6
15.12,52.05,1014.63,80.38,B,N,464.78
25.48,58.95,1017.02,51.16,C,Y,440.42
27.87,70.79,1003.96,72.17,B,N,428.41
23.72,70.47,1010.65,75.39,C,N,438.5
25,59.43,1007.84,68.91,B,N,438.28
8.42,40.64,1022.35,96.38,B,Y,476.29
22.46,58.49,1011.5,70.54,C,N,448.46
29.92,57.19,1008.62,45.8,B,N,438.99
11.68,39.22,1017.9,57.95,C,Y,471.8
14.04,42.44,1012.74,81.89,C,Y,471.81
19.86,59.14,1016.12,69.32,C,N,449.82
25.99,68.08,1013.13,59.14,A,Y,442.14
23.42,58.79,1009.74,81.54,B,Y,441.46
10.6,40.22,1011.37,85.81,A,Y,477.62
20.97,61.87,1011.45,65.41,A,N,446.76
14.14,39.82,1012.46,81.15,C,N,472.52
8.56,40.71,1021.27,95.87,A,N,471.58
24.86,72.39,1001.15,90.24,B,Y,440.85
29,77.54,1011.33,75.13,C,Y,431.37
27.59,71.97,1008.64,88.22,A,N,437.33
10.45,40.71,1015.68,81.48,C,N,469.22
8.51,40.78,1023.51,89.84,C,Y,471.11
29.82,66.51,1010.98,43.57,C,Y,439.17
22.56,62.26,1012.11,63.16,A,N,445.33
11.38,39.22,1018.62,57.14,C,N,473.71
20.25,57.76,1016.28,77.76,B,Y,452.66
22.42,59.43,1007.12,90.56,B,N,440.99
14.85,38.91,1014.48,60.98,C,Y,467.42
25.62,58.82,1010.02,70.31,C,N,444.14
19.85,56.53,1020.57,74.05,C,N,457.17
13.67,54.3,1015.92,75.42,C,N,467.87
24.39,70.72,1009.78,82.25,A,Y,442.04
16.07,44.58,1019.52,67.95,C,Y,471.36
11.6,39.1,1009.81,100.09,C,N,460.7
31.38,70.83,1010.35,47.28,C,N,431.33
29.91,76.86,998.59,72.41,B,Y,432.6
19.67,59.39,1014.07,77.67,B,N,447.61
27.18,64.79,1016.27,63.7,A,N,443.87
21.39,52.3,1009.2,79.77,B,N,446.87
10.45,41.01,1020.57,93.84,C,N,465.74
19.46,56.89,1014.02,84.95,B,Y,447.86
23.55,62.96,1020.16,70.16,C,Y,447.65
23.35,63.47,1011.78,84.24,C,N,437.87
9.26,41.66,1016.87,73.32,B,Y,483.51
10.3,41.46,1018.21,86.17,B,Y,479.65
20.94,58.16,1016.88,65.43,B,N,455.16
23.13,71.25,1002.49,94.59,C,Y,431.91
12.77,41.5,1014.13,86.8,C,N,470.68
28.29,69.13,1009.29,58.18,B,N,429.28
19.13,59.21,1018.32,89.66,A,N,450.81
24.44,73.5,1011.49,87.39,B,N,437.73
20.32,44.6,1015.16,36.35,B,Y,460.21
20.54,69.05,1001.6,79.62,C,Y,442.86
12.16,45,1021.51,50.52,A,Y,482.99
28.09,65.27,1013.27,51.96,B,N,440
9.25,41.82,1033.25,74.73,B,Y,478.48
21.75,49.82,1015.01,78.33,B,N,455.28
23.7,66.56,1002.07,85.19,C,N,436.94
16.22,37.87,1022.36,83.13,C,Y,461.06
24.75,69.45,1013.97,53.49,C,Y,438.28
10.48,39.58,1011.81,88.86,C,N,472.61
29.53,70.79,1003.7,60.89,C,Y,426.85
12.59,39.72,1017.76,61.14,B,N,470.18
23.5,54.42,1012.31,68.29,B,N,455.38
29.01,66.56,1006.44,57.62,B,N,428.32
9.75,42.49,1010.57,83.63,C,N,480.35
19.55,56.53,1020.2,78.1,A,Y,455.56
21.05,58.33,1013.14,66.34,B,N,447.66
24.72,68.67,1006.74,79.02,C,N,443.06
21.19,58.86,1014.19,68.96,A,Y,452.43
10.77,41.54,1019.94,71.13,B,N,477.81
28.68,73.77,1004.72,87.01,A,Y,431.66
29.87,73.91,1004.53,74.3,C,Y,431.8
22.99,68.67,1006.65,77.62,C,Y,446.67
24.66,60.29,1018,59.56,A,Y,445.26
32.63,69.89,1013.85,41.66,B,N,425.72
31.38,72.29,1008.73,73.27,B,Y,430.58
23.87,60.27,1018.94,77.16,B,N,439.86
25.6,59.15,1013.31,67.02,C,N,441.11
27.62,71.14,1011.6,52.8,A,Y,434.72
30.1,67.45,1014.23,39.04,C,Y,434.01
12.19,41.17,1019.43,65.47,A,Y,475.64
13.11,41.58,1020.43,74.32,C,N,460.44
28.29,68.67,1005.46,69.22,C,N,436.4
13.45,40.73,1018.7,93.88,C,N,461.03
10.98,41.54,1019.94,69.83,B,N,479.08
26.48,69.14,1009.31,84.11,B,N,435.76
13.07,45.51,1015.22,78.65,B,N,460.14
25.56,75.6,1017.37,69.31,A,Y,442.2
22.68,50.78,1008.83,70.3,B,Y,447.69
28.86,73.67,1006.65,68.23,C,N,431.15
22.7,63.56,1014.32,71.76,A,N,445
27.89,73.21,1001.32,85.88,C,Y,431.59
13.78,44.47,1027.94,71.09,B,N,467.22
28.14,51.43,1012.16,52.67,C,N,445.33
11.8,45.09,1013.21,89.68,B,Y,470.57
10.71,39.61,1018.72,73.66,A,N,473.77
24.54,60.29,1017.42,58.94,C,N,447.67
11.54,40.05,1014.78,87.05,A,Y,474.29
29.47,71.32,1008.07,67,B,Y,437.14
29.24,69.05,1003.12,43.18,B,N,432.56
14.51,41.79,1009.72,80.62,C,N,459.14
22.91,60.07,1016.03,59.72,B,Y,446.19
27.02,71.77,1006.38,72.1,B,N,428.1
13.49,44.47,1030.18,69.15,B,N,468.46
30.24,66.75,1017.95,55.66,C,N,435.02
23.19,48.6,1002.38,61.19,C,Y,445.52
17.73,40.55,1003.36,74.62,C,Y,462.69
18.62,61.27,1019.26,73.35,C,Y,455.75
12.85,40,1015.89,68.85,C,N,463.74
32.33,69.68,1011.95,39.89,B,N,439.79
25.09,58.95,1016.99,53.16,B,N,443.26
29.45,69.13,1009.3,52.97,C,N,432.04
16.91,43.96,1013.32,79.87,A,Y,465.86
14.09,45.87,1009.05,84.09,C,N,465.6
10.73,25.36,1009.35,100.15,C,Y,469.43
23.2,49.3,1003.4,79.77,C,Y,440.75
8.21,38.91,1015.82,88.99,B,N,481.32
9.3,40.56,1022.64,76.14,C,N,479.87
16.97,39.16,1005.7,69.13,B,Y,458.59
23.69,71.97,1009.62,93.03,C,N,438.62
25.13,59.44,1012.38,77.92,B,Y,445.59
9.86,43.56,1015.13,74.89,A,Y,481.87
11.33,41.5,1013.58,88.7,C,Y,475.01
26.95,48.41,1008.53,62.94,A,N,436.54
15,40.66,1016.28,89.62,A,Y,456.63
20.76,62.52,1015.63,81.04,A,Y,451.69
14.29,39.59,1010.93,94.53,B,N,463.04
19.74,67.71,1007.68,64.02,A,Y,446.1
26.68,59.92,1009.94,70.57,A,N,438.67
14.24,41.4,1019.7,70.32,B,N,466.88
21.98,48.41,1008.42,84.86,C,Y,444.6
22.75,59.39,1015.4,81.41,C,N,440.26
8.34,40.96,1023.28,89.45,C,Y,483.92
11.8,41.2,1017.18,82.71,C,N,475.19
8.81,44.68,1023.06,93.93,C,Y,479.24
30.05,73.68,1014.95,70.6,C,Y,434.92
16.01,65.46,1014,87.68,A,Y,454.16
21.75,58.79,1012.42,87.58,B,N,447.58
13.94,41.26,1021.67,74.4,C,Y,467.9
29.25,69.13,1010.27,67.35,B,Y,426.29
22.33,45.87,1007.8,63.61,C,N,447.02
16.43,41.79,1005.47,76.89,C,N,455.85
11.5,40.22,1010.31,78.08,B,Y,476.46
23.53,68.94,1007.53,69.17,C,Y,437.48
21.86,49.21,1014.61,53.31,A,Y,452.77
6.17,39.33,1012.57,93.32,C,Y,491.54
30.19,64.79,1017.22,42.47,C,Y,438.41
11.67,41.93,1019.81,82.58,C,Y,476.1
15.34,36.99,1007.87,94.59,C,N,464.58
11.5,40.78,1023.91,86.31,C,Y,467.74
25.53,57.17,1010,72.57,C,Y,442.12
21.27,57.5,1014.53,80.76,B,N,453.34
28.37,69.13,1010.44,71.93,C,N,425.29
28.39,51.43,1011.74,47.54,C,Y,449.63
13.78,45.78,1025.27,95.72,B,Y,462.88
14.6,42.32,1015.71,77.03,A,Y,464.67
5.1,35.57,1027.17,80.49,C,Y,489.96
7,38.08,1020.27,77.67,A,Y,482.38
26.3,77.95,1009.45,78.72,A,Y,437.95
30.56,71.98,1004.74,58.77,C,N,429.2
21.09,46.63,1013.03,74.8,B,N,453.34
28.21,70.02,1010.58,51.34,B,N,442.47
15.84,49.69,1015.14,90.41,A,Y,462.6
10.03,40.96,1024.57,91.1,C,N,478.79
20.37,52.05,1012.34,62.57,C,N,456.11
21.19,50.16,1005.81,84.27,C,N,450.33
33.73,69.88,1007.21,42.93,B,Y,434.83
29.87,73.68,1015.1,40.96,B,Y,433.43
19.62,62.96,1020.76,76.53,B,Y,456.02
9.93,40.67,1018.08,69.74,C,N,485.23
9.43,37.14,1013.03,74.99,B,Y,473.57
14.24,39.58,1011.17,70.45,C,N,469.94
12.97,49.83,1008.69,91.49,C,N,452.07
7.6,41.04,1021.82,88.97,A,Y,475.32
8.39,36.24,1013.39,89.13,C,N,480.69
25.41,48.06,1013.12,46.52,C,N,444.01
18.43,56.03,1020.41,60.55,B,Y,465.17
10.31,39.82,1012.87,88.71,B,N,480.61
11.29,41.5,1013.39,89.15,A,N,476.04
22.61,49.3,1003.51,83.02,B,N,441.76
29.34,71.98,1005.19,75.19,B,Y,428.24
18.87,67.71,1004,87.35,B,Y,444.77
13.21,45.87,1008.58,85.66,C,Y,463.1
11.3,44.6,1018.19,91.66,B,N,470.5
29.23,72.99,1007.04,63.47,C,Y,431
27.76,69.4,1004.27,72.25,C,Y,430.68
29.26,67.17,1006.6,70.58,B,N,436.42
25.72,49.82,1016.19,60.1,A,N,452.33
23.43,63.94,1010.64,89.29,B,Y,440.16
25.6,63.76,1010.18,67.43,C,N,435.75
22.3,44.57,1008.48,67.58,C,N,449.74
27.91,72.24,1010.74,70.8,C,N,430.73
30.35,77.17,1009.55,63.62,C,Y,432.75
21.78,47.43,1007.88,66.68,B,Y,446.79
7.19,41.39,1018.12,90.76,A,N,486.35
20.88,59.8,1015.66,75.34,A,Y,453.18
24.19,50.23,1015.73,59.77,C,Y,458.31
9.98,41.54,1019.7,80.79,C,N,480.26
23.47,51.3,1011.89,74.1,B,N,448.65
26.35,49.5,1012.67,41.34,C,N,458.41
29.89,64.69,1006.37,58.78,A,Y,435.39
19.29,50.16,1010.49,97.78,C,N,450.21
17.48,43.14,1018.68,74.85,C,Y,459.59
25.21,75.6,1017.19,69.84,B,N,445.84
23.3,48.78,1018.17,75.36,A,N,441.08
15.42,37.85,1009.89,85.8,B,N,467.33
21.44,63.09,1016.56,90.11,B,N,444.19
29.45,68.27,1007.96,61.63,C,Y,432.96
29.69,47.93,1002.85,44.76,A,N,438.09
15.52,36.99,1006.86,89.7,A,N,467.9
11.47,43.67,1012.68,72.51,C,N,475.72
9.77,34.69,1027.72,74.98,A,N,477.51
22.6,69.84,1006.37,79.59,C,Y,435.13
8.24,39.61,1017.99,78.42,C,N,477.9
17.01,44.2,1019.18,61.23,C,N,457.26
19.64,44.6,1015.88,47.56,A,Y,467.53
10.61,41.58,1021.08,93.06,A,Y,465.15
12.04,40.1,1014.42,89.65,C,Y,474.28
29.19,65.71,1013.85,50.5,C,Y,444.49
21.75,45.09,1014.15,44.84,A,N,452.84
23.66,77.54,1008.5,85.32,B,Y,435.38
27.05,75.33,1003.88,82.94,C,Y,433.57
29.63,69.71,1009.04,67.26,C,N,435.27
18.2,39.63,1005.35,79.05,C,Y,468.49
32.22,70.8,1009.9,62.03,C,N,433.07
26.88,73.56,1004.85,94.36,B,Y,430.63
29.05,65.74,1013.29,60.02,B,N,440.74
8.9,39.96,1026.31,95.46,A,Y,474.49
18.93,48.6,1005.72,84.92,C,N,449.74
27.49,63.76,1010.09,62.8,A,N,436.73
23.1,70.79,1006.53,90.81,A,N,434.58
11.22,43.13,1017.24,80.9,C,N,473.93
31.97,79.74,1007.03,55.84,C,N,435.99
13.32,43.22,1009.45,75.3,C,N,466.83
31.68,68.24,1005.29,37.34,B,N,427.22
23.69,63.77,1013.39,79.5,B,N,444.07
13.83,41.49,1020.11,87.29,A,Y,469.57
18.32,66.51,1015.18,81.5,C,N,459.89
11.05,40.71,1024.91,76.42,A,N,479.59
22.03,64.69,1007.21,75.75,A,Y,440.92
10.23,41.46,1020.45,84.95,C,Y,480.87
23.92,66.54,1009.93,62.37,A,N,441.9
29.38,69.68,1011.35,49.25,B,N,430.2
17.35,42.86,1014.62,74.16,B,Y,465.16
9.81,44.45,1021.19,90.55,C,Y,471.32
4.97,40.64,1020.91,94.28,A,Y,485.43
5.15,40.07,1012.27,63.31,C,N,495.35
21.54,58.49,1010.85,78.9,A,Y,449.12
7.94,42.02,1006.22,90.97,A,Y,480.53
18.77,50.66,1014.89,87.34,A,Y,457.07
21.69,69.94,1010.7,80.8,B,Y,443.67
10.07,44.68,1023.44,90.95,C,N,477.52
13.83,39.64,1012.52,69.97,C,N,472.95
10.45,39.69,1003.92,89.45,C,Y,472.54
11.56,40.71,1015.85,76.08,B,N,469.17
23.64,70.04,1011.09,83.35,C,N,435.21
10.48,40.22,1004.81,92.16,C,N,477.78
13.09,39.85,1012.86,58.42,A,N,475.89
10.67,40.23,1017.75,85.06,C,N,483.9
12.57,39.16,1016.53,88.91,B,Y,476.2
14.45,43.34,1015.47,83.33,C,Y,462.16
14.22,37.85,1011.24,88.49,C,N,471.05
6.97,41.26,1010.6,96.88,C,N,484.71
20.61,63.86,1015.43,73.86,B,N,446.34
14.67,42.28,1007.21,65.17,A,N,469.02
29.06,72.86,1004.23,69.41,B,N,432.12
14.38,40.1,1015.51,81.23,C,N,467.28
32.51,69.98,1013.29,54.07,C,Y,429.66
11.79,45.09,1013.16,89.17,C,Y,469.49
8.65,40.56,1023.23,78.85,C,Y,485.87
9.75,40.81,1026,84.44,B,Y,481.95
9.11,40.02,1031.1,83.02,C,Y,479.03
23.39,69.13,1010.99,90.66,A,N,434.5
14.3,54.3,1015.16,75.29,A,N,464.9
17.49,63.94,1020.02,82.6,A,N,452.71
31.1,69.51,1010.84,45.4,C,Y,429.74
19.77,56.65,1020.67,66.33,C,Y,457.09
28.61,72.29,1011.61,45.33,C,N,446.77
13.52,41.48,1014.46,67.12,B,N,460.76
13.52,40.83,1008.31,84.14,C,N,471.95
17.57,46.21,1014.09,80.81,A,N,453.29
28.18,60.07,1016.34,49.13,B,N,441.61
14.29,46.18,1017.01,87.29,B,Y,464.73
18.12,43.69,1016.91,52.95,A,Y,464.68
