use_id,user_id,platform,platform_version,device,use_type_id,device_clean,platform_version_numeric,platform_version_category,use_type_name,device_brand,Retail Branding,Marketing Name,Device,Model
22841,29656,android,5.1,SM-G361F,3,SM-G361F,5.1,Android 5.x,Desktop,Samsung,,,,
22842,29657,ios,10.2,"iPhone8,4",3,"iPhone8,4",10.2,Android 10.x,Desktop,Apple,,,,
22843,29657,ios,10.2,"iPhone8,4",3,"iPhone8,4",10.2,Android 10.x,Desktop,Apple,,,,
22844,29658,ios,9.3,"iPad2,4",3,"iPad2,4",9.3,Android 9.x,Desktop,Apple,,,,
22845,29658,ios,9.3,"iPad2,4",3,"iPad2,4",9.3,Android 9.x,Desktop,Apple,,,,
22846,29658,ios,9.3,"iPad2,4",3,"iPad2,4",9.3,Android 9.x,Desktop,Apple,,,,
22847,29658,ios,9.3,"iPad2,4",3,"iPad2,4",9.3,Android 9.x,Desktop,Apple,,,,
22848,29658,ios,9.3,"iPad2,4",3,"iPad2,4",9.3,Android 9.x,Desktop,Apple,,,,
22849,29659,android,6.0,SM-A310F,1,SM-A310F,6.0,Android 6.x,Mobile,Samsung,,,,
22850,29659,android,6.0,SM-A310F,1,SM-A310F,6.0,Android 6.x,Mobile,Samsung,,,,
22851,28796,ios,10.0,"iPhone5,2",3,"iPhone5,2",10.0,Android 10.x,Desktop,Apple,,,,
22852,29518,android,6.0,SM-G935F,1,SM-G935F,6.0,Android 6.x,Mobile,Samsung,,,,
22853,29518,android,6.0,SM-G935F,1,SM-G935F,6.0,Android 6.x,Mobile,Samsung,,,,
22854,29592,android,5.1,D2303,1,D2303,5.1,Android 5.x,Mobile,Sony,Sony,Xperia M2,D2303,D2303
22855,3191,android,6.0,SM-N910F,1,SM-N910F,6.0,Android 6.x,Mobile,Samsung,,,,
22856,29660,android,4.4,SM-G360F,1,SM-G360F,4.4,Old (< 5.0),Mobile,Samsung,,,,
22857,26369,ios,10.2,"iPhone7,2",2,"iPhone7,2",10.2,Android 10.x,Tablet,Apple,,,,
22858,29544,android,7.0,ONEPLUS A3003,1,ONEPLUS A3003,7.0,Android 7.x,Mobile,OnePlus,,,,
22859,11125,ios,10.1,"iPhone7,2",2,"iPhone7,2",10.1,Android 10.x,Tablet,Apple,,,,
22860,24747,ios,9.3,"iPhone4,1",3,"iPhone4,1",9.3,Android 9.x,Desktop,Apple,,,,
22861,16663,android,4.1,HTC One S,1,HTC One S,4.1,Old (< 5.0),Mobile,HTC,,,,
22862,16663,android,4.1,HTC One S,1,HTC One S,4.1,Old (< 5.0),Mobile,HTC,,,,
22863,29647,android,6.0,ONEPLUS A3003,1,ONEPLUS A3003,6.0,Android 6.x,Mobile,OnePlus,,,,
22864,14720,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
22865,14720,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
22866,14720,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
22867,29661,ios,10.2,"iPhone5,2",2,"iPhone5,2",10.2,Android 10.x,Tablet,Apple,,,,
22868,29661,ios,10.2,"iPhone5,2",2,"iPhone5,2",10.2,Android 10.x,Tablet,Apple,,,,
22869,23349,ios,10.2,"iPhone7,2",2,"iPhone7,2",10.2,Android 10.x,Tablet,Apple,,,,
22870,23349,ios,10.2,"iPhone7,2",2,"iPhone7,2",10.2,Android 10.x,Tablet,Apple,,,,
22871,18883,android,4.3,GT-I9300,1,GT-I9300,4.3,Old (< 5.0),Mobile,Samsung,,,,
22872,18883,android,4.3,GT-I9300,3,GT-I9300,4.3,Old (< 5.0),Desktop,Samsung,,,,
22873,29662,android,5.1,SM-J320FN,1,SM-J320FN,5.1,Android 5.x,Mobile,Samsung,,,,
22874,27142,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
22875,27593,android,5.0,GT-I9505,1,GT-I9505,5.0,Android 5.x,Mobile,Samsung,,,,
22876,27593,android,5.0,GT-I9505,1,GT-I9505,5.0,Android 5.x,Mobile,Samsung,,,,
22877,29663,android,6.0,ONE E1003,3,ONE E1003,6.0,Android 6.x,Desktop,OnePlus,,,,
22878,19912,ios,10.2,"iPhone8,1",3,"iPhone8,1",10.2,Android 10.x,Desktop,Apple,,,,
22879,29664,android,6.0,HTC Desire 530,1,HTC Desire 530,6.0,Android 6.x,Mobile,HTC,,,,
22880,29366,android,5.0,GT-I9505,1,GT-I9505,5.0,Android 5.x,Mobile,Samsung,,,,
22881,29665,android,6.0,HTC Desire 825,1,HTC Desire 825,6.0,Android 6.x,Mobile,HTC,,,,
22882,29666,android,6.0,F3111,1,F3111,6.0,Android 6.x,Mobile,Other,Sony,Xperia XA,F3111,F3111
22883,29666,android,6.0,F3111,1,F3111,6.0,Android 6.x,Mobile,Other,Sony,Xperia XA,F3111,F3111
22884,29666,android,6.0,F3111,1,F3111,6.0,Android 6.x,Mobile,Other,Sony,Xperia XA,F3111,F3111
22885,12438,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
22886,29667,android,5.1,SM-G800F,1,SM-G800F,5.1,Android 5.x,Mobile,Samsung,,,,
22887,29310,android,4.4,GT-I9195,1,GT-I9195,4.4,Old (< 5.0),Mobile,Samsung,,,,
22888,29668,android,5.0,GT-I9505,1,GT-I9505,5.0,Android 5.x,Mobile,Samsung,,,,
22889,29669,android,6.0,SM-G920F,1,SM-G920F,6.0,Android 6.x,Mobile,Samsung,,,,
22890,14268,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
22891,29670,android,5.0,SM-N9005,1,SM-N9005,5.0,Android 5.x,Mobile,Samsung,,,,
22892,29671,android,7.1,Nexus 5X,1,Nexus 5X,7.1,Android 7.x,Mobile,Google,,,,
22893,29672,ios,10.1,"iPhone9,3",3,"iPhone9,3",10.1,Android 10.x,Desktop,Apple,,,,
22894,26335,ios,10.2,"iPhone8,4",2,"iPhone8,4",10.2,Android 10.x,Tablet,Apple,,,,
22895,29673,android,6.0,SM-G925F,1,SM-G925F,6.0,Android 6.x,Mobile,Samsung,,,,
22896,29673,android,6.0,SM-G925F,1,SM-G925F,6.0,Android 6.x,Mobile,Samsung,,,,
22897,14720,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
22898,29674,ios,10.2,"iPhone7,2",3,"iPhone7,2",10.2,Android 10.x,Desktop,Apple,,,,
22899,29673,android,6.0,SM-G925F,3,SM-G925F,6.0,Android 6.x,Desktop,Samsung,,,,
22900,29673,android,6.0,SM-G925F,3,SM-G925F,6.0,Android 6.x,Desktop,Samsung,,,,
22901,29673,android,6.0,SM-G925F,3,SM-G925F,6.0,Android 6.x,Desktop,Samsung,,,,
22902,29673,android,6.0,SM-G925F,1,SM-G925F,6.0,Android 6.x,Mobile,Samsung,,,,
22903,29675,android,6.0,SM-N910F,1,SM-N910F,6.0,Android 6.x,Mobile,Samsung,,,,
22904,28725,ios,9.3,"iPhone4,1",2,"iPhone4,1",9.3,Android 9.x,Tablet,Apple,,,,
22905,28725,ios,9.3,"iPhone4,1",2,"iPhone4,1",9.3,Android 9.x,Tablet,Apple,,,,
22906,28725,ios,9.3,"iPhone4,1",2,"iPhone4,1",9.3,Android 9.x,Tablet,Apple,,,,
22907,16068,android,5.0,SM-G900F,1,SM-G900F,5.0,Android 5.x,Mobile,Samsung,,,,
22908,10563,android,5.0,GT-I9505,1,GT-I9505,5.0,Android 5.x,Mobile,Samsung,,,,
22909,29169,android,6.0,HTC Desire 825,1,HTC Desire 825,6.0,Android 6.x,Mobile,HTC,,,,
22910,28601,ios,7.1,"iPhone3,1",3,"iPhone3,1",7.1,Android 7.x,Desktop,Apple,,,,
22911,29676,ios,10.2,"iPhone5,4",3,"iPhone5,4",10.2,Android 10.x,Desktop,Apple,,,,
22912,10847,android,6.0,SM-N910F,1,SM-N910F,6.0,Android 6.x,Mobile,Samsung,,,,
22913,29677,ios,7.1,"iPhone3,2",3,"iPhone3,2",7.1,Android 7.x,Desktop,Apple,,,,
22914,23738,ios,10.0,"iPad4,5",2,"iPad4,5",10.0,Android 10.x,Tablet,Apple,,,,
22915,29678,ios,10.2,"iPhone7,2",2,"iPhone7,2",10.2,Android 10.x,Tablet,Apple,,,,
22916,19526,android,4.4,GT-I9195,1,GT-I9195,4.4,Old (< 5.0),Mobile,Samsung,,,,
22917,29319,ios,10.2,"iPhone6,2",2,"iPhone6,2",10.2,Android 10.x,Tablet,Apple,,,,
22918,21186,ios,10.1,"iPhone5,2",3,"iPhone5,2",10.1,Android 10.x,Desktop,Apple,,,,
22919,29679,ios,10.1,"iPad4,1",3,"iPad4,1",10.1,Android 10.x,Desktop,Apple,,,,
22920,18833,android,6.0,D6603,1,D6603,6.0,Android 6.x,Mobile,Other,Sony,Xperia Z3,D6603,D6603
22921,18833,android,6.0,D6603,1,D6603,6.0,Android 6.x,Mobile,Other,Sony,Xperia Z3,D6603,D6603
22922,28845,android,6.0,LG-H815,1,LG-H815,6.0,Android 6.x,Mobile,LG,,,,
22923,6111,android,5.0,GT-I9505,1,GT-I9505,5.0,Android 5.x,Mobile,Samsung,,,,
22924,14323,ios,10.0,"iPhone6,2",2,"iPhone6,2",10.0,Android 10.x,Tablet,Apple,,,,
22925,29680,ios,10.1,"iPhone7,2",3,"iPhone7,2",10.1,Android 10.x,Desktop,Apple,,,,
22926,29681,android,5.0,GT-I9515,1,GT-I9515,5.0,Android 5.x,Mobile,Samsung,,,,
22927,29681,android,5.0,GT-I9515,1,GT-I9515,5.0,Android 5.x,Mobile,Samsung,,,,
22928,29682,android,6.0,EVA-L09,3,EVA-L09,6.0,Android 6.x,Desktop,Other,,,,
22929,23349,ios,10.2,"iPhone7,2",2,"iPhone7,2",10.2,Android 10.x,Tablet,Apple,,,,
22930,29683,ios,10.2,"iPhone7,2",2,"iPhone7,2",10.2,Android 10.x,Tablet,Apple,,,,
22931,29684,android,6.0,EVA-L09,1,EVA-L09,6.0,Android 6.x,Mobile,Other,,,,
22932,29685,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
22933,29685,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
22934,29685,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
22935,29065,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
22936,28420,android,6.0,ONEPLUS A3003,1,ONEPLUS A3003,6.0,Android 6.x,Mobile,OnePlus,,,,
22937,29686,android,6.0,HTC One M9,1,HTC One M9,6.0,Android 6.x,Mobile,HTC,,,,
22938,29687,android,6.0,SM-G920F,1,SM-G920F,6.0,Android 6.x,Mobile,Samsung,,,,
22939,14785,android,4.4,SM-A300FU,1,SM-A300FU,4.4,Old (< 5.0),Mobile,Samsung,,,,
22940,19524,ios,9.3,"iPhone4,1",2,"iPhone4,1",9.3,Android 9.x,Tablet,Apple,,,,
22941,29688,android,6.0,SM-G920F,1,SM-G920F,6.0,Android 6.x,Mobile,Samsung,,,,
22942,20474,android,5.0,GT-I9505,1,GT-I9505,5.0,Android 5.x,Mobile,Samsung,,,,
22943,29689,android,4.1,GT-N7100,1,GT-N7100,4.1,Old (< 5.0),Mobile,Samsung,,,,
22944,29689,android,4.1,GT-N7100,1,GT-N7100,4.1,Old (< 5.0),Mobile,Samsung,,,,
22945,28962,android,6.0,HTC Desire 626,1,HTC Desire 626,6.0,Android 6.x,Mobile,HTC,,,,
22946,28962,android,6.0,HTC Desire 626,1,HTC Desire 626,6.0,Android 6.x,Mobile,HTC,,,,
22947,8981,ios,10.0,"iPhone7,2",3,"iPhone7,2",10.0,Android 10.x,Desktop,Apple,,,,
22948,29319,ios,10.2,"iPhone6,2",2,"iPhone6,2",10.2,Android 10.x,Tablet,Apple,,,,
22949,29673,android,6.0,SM-G925F,1,SM-G925F,6.0,Android 6.x,Mobile,Samsung,,,,
22950,29454,android,6.0,Moto G (4),1,Moto G (4),6.0,Android 6.x,Mobile,Other,,,,
22951,29454,android,6.0,Moto G (4),1,Moto G (4),6.0,Android 6.x,Mobile,Other,,,,
22952,28431,ios,10.2,"iPhone7,2",3,"iPhone7,2",10.2,Android 10.x,Desktop,Apple,,,,
22953,29690,ios,9.2,"iPhone7,2",2,"iPhone7,2",9.2,Android 9.x,Tablet,Apple,,,,
22954,24306,ios,10.2,"iPhone7,2",2,"iPhone7,2",10.2,Android 10.x,Tablet,Apple,,,,
22955,26797,android,4.3,GT-I9300,1,GT-I9300,4.3,Old (< 5.0),Mobile,Samsung,,,,
22956,29691,ios,9.3,"iPhone6,2",2,"iPhone6,2",9.3,Android 9.x,Tablet,Apple,,,,
22957,29691,ios,9.3,"iPhone6,2",2,"iPhone6,2",9.3,Android 9.x,Tablet,Apple,,,,
22958,29691,ios,9.3,"iPhone6,2",2,"iPhone6,2",9.3,Android 9.x,Tablet,Apple,,,,
22959,29691,ios,9.3,"iPhone6,2",2,"iPhone6,2",9.3,Android 9.x,Tablet,Apple,,,,
22960,29691,ios,9.3,"iPhone6,2",2,"iPhone6,2",9.3,Android 9.x,Tablet,Apple,,,,
22961,29692,ios,9.3,"iPhone6,2",2,"iPhone6,2",9.3,Android 9.x,Tablet,Apple,,,,
22962,27670,android,6.0,SM-N910F,1,SM-N910F,6.0,Android 6.x,Mobile,Samsung,,,,
22963,22763,android,6.0,ONE A2003,1,ONE A2003,6.0,Android 6.x,Mobile,OnePlus,,,,
22964,14268,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
22965,2873,android,5.0,GT-I9505,1,GT-I9505,5.0,Android 5.x,Mobile,Samsung,,,,
22966,29693,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
22967,29694,android,6.0,SM-A500FU,1,SM-A500FU,6.0,Android 6.x,Mobile,Samsung,,,,
22968,29695,android,6.0,ONEPLUS A3003,1,ONEPLUS A3003,6.0,Android 6.x,Mobile,OnePlus,,,,
22969,29695,android,6.0,ONEPLUS A3003,1,ONEPLUS A3003,6.0,Android 6.x,Mobile,OnePlus,,,,
22970,16068,android,5.0,SM-G900F,1,SM-G900F,5.0,Android 5.x,Mobile,Samsung,,,,
22971,29696,android,5.1,SM-G903F,1,SM-G903F,5.1,Android 5.x,Mobile,Samsung,,,,
22972,29696,android,5.1,SM-G903F,1,SM-G903F,5.1,Android 5.x,Mobile,Samsung,,,,
22973,29697,ios,9.0,"iPhone5,4",3,"iPhone5,4",9.0,Android 9.x,Desktop,Apple,,,,
22974,29698,android,5.1,Lenovo K51c78,1,Lenovo K51c78,5.1,Android 5.x,Mobile,Other,,,,
22975,28953,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
22976,29699,ios,10.2,"iPhone6,2",3,"iPhone6,2",10.2,Android 10.x,Desktop,Apple,,,,
22977,24520,android,5.0,GT-I9505,1,GT-I9505,5.0,Android 5.x,Mobile,Samsung,,,,
22978,29700,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
22979,16673,android,5.1,D5503,1,D5503,5.1,Android 5.x,Mobile,Other,Sony,Xperia Z1 Compact,D5503,D5503
22980,29701,android,4.4,SM-G900F,1,SM-G900F,4.4,Old (< 5.0),Mobile,Samsung,,,,
22981,18108,android,4.4,X11,1,X11,4.4,Old (< 5.0),Mobile,Other,Lava,X11,X11,X11
22982,26565,android,6.0,SM-G935F,1,SM-G935F,6.0,Android 6.x,Mobile,Samsung,,,,
22983,29445,ios,10.2,"iPhone6,2",3,"iPhone6,2",10.2,Android 10.x,Desktop,Apple,,,,
22984,29445,ios,10.2,"iPhone6,2",3,"iPhone6,2",10.2,Android 10.x,Desktop,Apple,,,,
22985,6356,android,5.0,GT-I9515,1,GT-I9515,5.0,Android 5.x,Mobile,Samsung,,,,
22986,16673,android,5.1,D5503,1,D5503,5.1,Android 5.x,Mobile,Other,Sony,Xperia Z1 Compact,D5503,D5503
22987,29665,android,6.0,HTC Desire 825,1,HTC Desire 825,6.0,Android 6.x,Mobile,HTC,,,,
22988,29702,android,5.0,SM-G360F,1,SM-G360F,5.0,Android 5.x,Mobile,Samsung,,,,
22989,29703,android,6.0,HUAWEI VNS-L31,1,HUAWEI VNS-L31,6.0,Android 6.x,Mobile,Huawei,,,,
22990,29703,android,6.0,HUAWEI VNS-L31,3,HUAWEI VNS-L31,6.0,Android 6.x,Desktop,Huawei,,,,
22991,29704,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
22992,27965,android,6.0,SM-N910F,1,SM-N910F,6.0,Android 6.x,Mobile,Samsung,,,,
22993,27965,android,6.0,SM-N910F,3,SM-N910F,6.0,Android 6.x,Desktop,Samsung,,,,
22994,29705,android,6.0,SM-A300FU,1,SM-A300FU,6.0,Android 6.x,Mobile,Samsung,,,,
22995,29705,android,6.0,SM-A300FU,1,SM-A300FU,6.0,Android 6.x,Mobile,Samsung,,,,
22996,29319,ios,10.2,"iPhone6,2",2,"iPhone6,2",10.2,Android 10.x,Tablet,Apple,,,,
22997,26328,android,5.0,GT-I9505,1,GT-I9505,5.0,Android 5.x,Mobile,Samsung,,,,
22998,29439,android,6.0,SM-G920F,1,SM-G920F,6.0,Android 6.x,Mobile,Samsung,,,,
22999,29706,android,5.0,GT-I9506,1,GT-I9506,5.0,Android 5.x,Mobile,Samsung,,,,
23000,29703,android,6.0,HUAWEI VNS-L31,3,HUAWEI VNS-L31,6.0,Android 6.x,Desktop,Huawei,,,,
23001,28898,android,6.0,SM-G920F,3,SM-G920F,6.0,Android 6.x,Desktop,Samsung,,,,
23002,28898,android,6.0,SM-G920F,1,SM-G920F,6.0,Android 6.x,Mobile,Samsung,,,,
23003,29707,android,5.1,HUAWEI CUN-L01,1,HUAWEI CUN-L01,5.1,Android 5.x,Mobile,Huawei,,,,
23004,29708,ios,10.2,"iPhone7,2",2,"iPhone7,2",10.2,Android 10.x,Tablet,Apple,,,,
23005,26691,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
23006,29709,ios,10.1,"iPhone7,2",2,"iPhone7,2",10.1,Android 10.x,Tablet,Apple,,,,
23007,29710,ios,10.1,"iPhone6,2",3,"iPhone6,2",10.1,Android 10.x,Desktop,Apple,,,,
23008,29710,ios,10.1,"iPhone6,2",3,"iPhone6,2",10.1,Android 10.x,Desktop,Apple,,,,
23009,29710,ios,10.1,"iPhone6,2",3,"iPhone6,2",10.1,Android 10.x,Desktop,Apple,,,,
23010,29710,ios,10.1,"iPhone6,2",3,"iPhone6,2",10.1,Android 10.x,Desktop,Apple,,,,
23011,29710,ios,10.1,"iPhone6,2",3,"iPhone6,2",10.1,Android 10.x,Desktop,Apple,,,,
23012,29711,ios,9.3,"iPhone6,2",2,"iPhone6,2",9.3,Android 9.x,Tablet,Apple,,,,
23013,14268,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
23014,29710,ios,10.1,"iPhone6,2",3,"iPhone6,2",10.1,Android 10.x,Desktop,Apple,,,,
23015,28945,android,6.0,SM-A300FU,1,SM-A300FU,6.0,Android 6.x,Mobile,Samsung,,,,
23016,29712,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
23017,29666,android,6.0,F3111,1,F3111,6.0,Android 6.x,Mobile,Other,Sony,Xperia XA,F3111,F3111
23018,29454,android,6.0,Moto G (4),1,Moto G (4),6.0,Android 6.x,Mobile,Other,,,,
23019,29713,android,5.1,SM-J320FN,1,SM-J320FN,5.1,Android 5.x,Mobile,Samsung,,,,
23020,29714,android,5.1,SM-G361F,1,SM-G361F,5.1,Android 5.x,Mobile,Samsung,,,,
23021,28220,android,6.0,SM-G930F,1,SM-G930F,6.0,Android 6.x,Mobile,Samsung,,,,
23022,25498,ios,10.2,"iPad5,3",2,"iPad5,3",10.2,Android 10.x,Tablet,Apple,,,,
23023,29647,android,7.0,ONEPLUS A3003,1,ONEPLUS A3003,7.0,Android 7.x,Mobile,OnePlus,,,,
23024,28637,android,6.0,MotoE2(4G-LTE),1,MotoE2(4G-LTE),6.0,Android 6.x,Mobile,Other,,,,
23025,29715,ios,10.1,"iPhone6,2",3,"iPhone6,2",10.1,Android 10.x,Desktop,Apple,,,,
23026,22763,android,6.0,ONE A2003,1,ONE A2003,6.0,Android 6.x,Mobile,OnePlus,,,,
23027,18108,android,4.4,X11,1,X11,4.4,Old (< 5.0),Mobile,Other,Lava,X11,X11,X11
